Episode,Steps,Foods,C1,C2,Eat,Actor,Alpha,Reward,EatEps,PRBBeta,Stuck,OnFoodWaitMax
127,96,7,99.177024324735,99.36853500207265,0.0,7.850885371367137,0.17365385591983795,-92.80999999999997,0.02,0.4683999999999925,96,1
128,177,14,88.71747636525645,88.88064760542186,0.0,7.965407293395134,0.17000950872898102,79.65999999999991,0.02,0.48609999999999054,177,2
129,56,4,79.60542406354632,79.5881280217852,0.0,7.938209925379072,0.16890457272529602,-104.53,0.02,0.4916999999999899,56,2
130,268,19,71.78795360451313,71.7208260208813,0.0,8.025970932263046,0.16375413537025452,58.089999999999776,0.02,0.518499999999987,268,1
131,42,2,64.8264410836356,64.89800280616397,0.0,8.038691838582357,0.16297610104084015,-92.36999999999998,0.02,0.5226999999999865,42,1
132,358,17,55.22547406457656,55.25113054094368,0.0,8.38773185713997,0.15683718025684357,135.25999999999962,0.02,0.5584999999999826,358,2
133,134,5,46.460471608745515,46.50875044580716,0.0,8.40079944525192,0.15465599298477173,-95.47000000000003,0.02,0.5718999999999811,134,1
134,233,17,44.46014808687529,44.432422277753446,0.0,8.401949053670204,0.15054851770401,82.29999999999998,0.02,0.5951999999999785,233,2
135,233,16,38.94225937511788,39.03558669683759,0.0,8.516945843021245,0.1464502215385437,98.1700000000001,0.02,0.618499999999976,233,1
136,187,13,35.04490074116916,35.075820535262004,0.0,8.32325648241502,0.14274848997592926,-25.810000000000024,0.02,0.6371999999999739,187,1
137,253,14,33.41988652496941,33.54488980440283,0.0,8.150691690181084,0.13754840195178986,86.38999999999999,0.02,0.6624999999999711,253,2
138,160,16,31.126652163267135,31.181560188531876,0.0,8.347900581359863,0.13402950763702393,49.72999999999981,0.02,0.6784999999999693,160,2
139,189,13,27.222351124677708,27.342858112678325,0.0,8.335251815735347,0.12948691844940186,-22.60999999999995,0.02,0.6973999999999673,189,1
140,309,19,25.25395494448714,25.418139275609484,0.0,8.389573972202042,0.12245853990316391,76.32000000000033,0.02,0.7282999999999639,309,1
141,283,19,21.756820142900985,21.925207190294568,0.0,8.36170286845824,0.11629212647676468,155.4399999999996,0.02,0.7565999999999607,283,2
142,216,17,20.180387291643356,20.323480429472745,0.0,8.283687002129025,0.111526258289814,118.23999999999972,0.02,0.7781999999999584,216,1
143,317,17,18.3281080572387,18.526195618632464,0.0,8.365200552654567,0.10447897017002106,151.46999999999943,0.02,0.8098999999999549,317,1
144,216,16,16.062808175881703,16.22765674855974,0.0,8.228160756605643,0.09987800568342209,16.779999999999795,0.02,0.8314999999999525,216,1
145,273,17,15.521962937854585,15.670523245256026,0.0,8.271968825832827,0.0948832556605339,127.83999999999997,0.02,0.8587999999999495,273,2
146,286,23,13.546168880029159,13.680896867405284,0.0,8.184961845824768,0.09015507996082306,188.3899999999997,0.02,0.8873999999999463,286,1
147,181,11,12.509973822377663,12.623931724063599,0.0,8.142931182081528,0.08738475292921066,-51.00999999999997,0.02,0.9054999999999443,181,2
148,258,19,11.332352385040402,11.434005470238915,0.0,8.020907649698184,0.08378874510526657,76.02000000000032,0.02,0.9312999999999415,258,1
149,246,13,11.00837371601322,11.109285258665317,0.0,7.977247449440685,0.08082769066095352,-9.149999999999899,0.02,0.9558999999999388,246,1
150,57,6,10.243945063206187,10.379510360851622,0.0,7.943972286425139,0.08003800362348557,-90.27,0.02,0.9615999999999382,57,1
151,187,19,9.62756233546823,9.741161730837694,0.0,7.886828195602498,0.07768817245960236,145.58999999999978,0.02,0.9802999999999361,187,1
152,199,14,9.328632780055903,9.392838449334379,0.0,7.655216432696012,0.07534760236740112,118.1599999999998,0.02,1.0,199,1
153,293,22,8.851220896626495,8.903167480494789,0.0,7.662250753148831,0.07181520015001297,162.99999999999952,0.02,1.0,293,2
154,178,17,8.581418835714961,8.667754206764563,0.0,7.825457404168804,0.0696735754609108,121.27000000000001,0.02,1.0,178,1
155,224,14,8.58837307457413,8.631764143173184,0.0,7.7108994254044125,0.06708570569753647,5.119999999999941,0.02,1.0,224,2
156,247,19,8.354962052121337,8.449876441164056,0.0,7.6726815169639435,0.06431407481431961,101.29000000000019,0.02,1.0,247,1
157,243,14,8.090449633421722,8.181681643297642,0.0,7.515045733118254,0.06236179545521736,104.22,0.02,1.0,243,2
158,284,20,8.24505666653875,8.362459044641172,0.0,7.439127456973976,0.05994421988725662,162.64999999999955,0.02,1.0,284,1
159,252,19,7.791586644119686,7.871651550134023,0.0,7.263676673646957,0.058003753423690796,141.11999999999983,0.02,1.0,252,1
160,84,2,8.134901231243497,8.187639730317253,0.0,7.160419526554289,0.05734161660075188,-112.68999999999998,0.02,1.0,84,1
161,128,13,7.871216227300465,7.955898410640657,0.0,7.184356931596994,0.05648639798164368,-35.089999999999975,0.02,1.0,128,2
162,45,4,8.4616614818573,8.535658227072823,0.0,7.131523905860053,0.05630798265337944,-82.05000000000003,0.02,1.0,45,2
163,282,14,7.763877987438906,7.820098659670945,0.0,7.184825105870024,0.05444369465112686,13.929999999999836,0.02,1.0,282,1
164,197,17,7.618425004373347,7.6857735729459575,0.0,7.071720876064397,0.053311921656131744,93.39000000000006,0.02,1.0,197,1
165,209,14,7.923140895423707,8.009180816737087,0.0,7.072236001776736,0.05147519335150719,125.44999999999979,0.02,1.0,209,1
166,129,13,7.299631857132727,7.352284558983737,0.0,6.992704517157503,0.05072193220257759,-16.549999999999926,0.02,1.0,129,2
167,100,9,7.57452428817749,7.6406264185905455,0.0,6.987757654190063,0.050518643110990524,-67.44999999999999,0.02,1.0,100,1
168,186,17,7.681600316237378,7.782041503537085,0.0,6.898754524928267,0.04919784888625145,39.50999999999987,0.02,1.0,186,1
169,154,15,7.538453927674851,7.572908138299917,0.0,7.192791053227016,0.04836411774158478,18.269999999999925,0.02,1.0,154,1
170,138,9,7.573761233385058,7.6510498420051904,0.0,7.031057744786359,0.0474957711994648,-50.43999999999996,0.02,1.0,138,1
171,292,19,7.498073838549118,7.5778677586006795,0.0,6.939570154229256,0.045887384563684464,146.89999999999966,0.02,1.0,292,2
172,272,17,7.6459131939884495,7.700730089974754,0.0,6.827204031102798,0.04427018016576767,142.52999999999963,0.02,1.0,272,1
173,252,17,7.424276287120486,7.506846442582115,0.0,6.786604050606016,0.04259194806218147,139.48999999999972,0.02,1.0,252,1
174,90,3,7.373497380150689,7.376333957248264,0.0,6.76250589688619,0.041865523904561996,-84.38999999999999,0.02,1.0,90,1
175,283,22,7.133425102638272,7.170260682965336,0.0,6.7194231289435615,0.04071282595396042,172.89999999999978,0.02,1.0,283,1
176,225,11,7.118761154280769,7.112391001383464,0.0,6.618934718237983,0.039935458451509476,-19.89999999999985,0.02,1.0,225,2
177,247,20,7.329361078710209,7.376773788861418,0.0,6.580964693656335,0.039325226098299026,174.4399999999998,0.02,1.0,247,2
178,218,17,6.832865519807973,6.844599522581888,0.0,6.720750511239428,0.038320090621709824,136.57999999999973,0.02,1.0,218,1
179,161,15,7.080842862958494,7.073147623435311,0.0,6.638341527547896,0.03773028403520584,10.23999999999991,0.02,1.0,161,1
180,211,17,7.156961286237454,7.151761903017053,0.0,6.526706265047263,0.03666768968105316,123.88999999999999,0.02,1.0,211,1
181,244,19,7.253385017152692,7.275547603603269,0.0,6.516462173618254,0.03566143661737442,153.14999999999952,0.02,1.0,244,2
182,244,14,6.616350426048529,6.598469853889747,0.0,6.364976955241844,0.034522272646427155,-14.269999999999868,0.02,1.0,244,1
183,112,4,7.228337837117059,7.205910950899124,0.0,6.113276434796197,0.034015897661447525,-81.35000000000001,0.02,1.0,112,2
